Geo_code,Geo_name,Indicator_wall_insulation,Indicator_wall_insulation_deciles,Indicator_roof_insulation,Indicator_roof_insulation_deciles,Indicator_floor_insulation,Indicator_floor_insulation_deciles,Indicator_property_type,Indicator_property_type_deciles,Indicator_property_age,Indicator_property_age_deciles,Indicator_age_population,Indicator_age_population_deciles,Indicator_health_conditions,Indicator_health_conditions_deciles,Indicator_fuel_poverty,Indicator_fuel_poverty_deciles,Country,Country_denominator,Geo_type,Combined,Combined_deciles,Insulation_supply,Insulation_supply_deciles
E14001517,Stockport,409,8,421,8,317,6,170,4,478,9,130,3,374,7,382,8,England,543,Westminster Constituency,326,6,221,6
E14001518,Stockton North,55,1,245,5,383,8,345,7,302,6,229,5,485,9,246,5,England,543,Westminster Constituency,271,5,346,4
E14001519,Stockton West,7,1,88,2,326,6,511,10,15,1,369,7,346,7,7,1,England,543,Westminster Constituency,180,4,331,4
E14001520,Stoke-on-Trent Central,372,7,405,8,497,10,320,6,474,9,126,3,330,7,540,10,England,543,Westminster Constituency,507,10,501,1
E14001521,Stoke-on-Trent North,278,6,356,7,526,10,457,9,395,8,274,6,381,7,529,10,England,543,Westminster Constituency,509,10,496,1
E14001522,Stoke-on-Trent South,123,3,208,4,537,10,492,10,265,5,403,8,414,8,500,10,England,543,Westminster Constituency,500,10,474,2
E14001523,"Stone, Great Wyrley and Penkridge",126,3,183,4,325,6,454,9,93,2,447,9,337,7,404,8,England,543,Westminster Constituency,318,6,140,8
E14001524,Stourbridge,289,6,379,7,411,8,224,5,275,6,340,7,336,7,490,10,England,543,Westminster Constituency,381,7,163,7
E14001525,Stratford and Bow,313,6,202,4,10,1,20,1,106,2,5,1,7,1,221,5,England,543,Westminster Constituency,14,1,109,8
E14001526,Stratford-on-Avon,80,2,110,2,124,3,351,7,83,2,494,10,315,6,439,9,England,543,Westminster Constituency,301,6,125,8
E14001527,Streatham and Croydon North,535,10,520,10,44,1,36,1,530,10,60,2,27,1,239,5,England,543,Westminster Constituency,366,7,85,9
E14001528,Stretford and Urmston,390,8,420,8,299,6,153,3,444,9,160,3,420,8,318,6,England,543,Westminster Constituency,311,6,143,8
E14001529,Stroud,317,6,284,6,308,6,362,7,286,6,430,8,329,7,289,6,England,543,Westminster Constituency,291,6,414,3
E14001530,Suffolk Coastal,195,4,156,3,340,7,406,8,246,5,533,10,487,9,252,5,England,543,Westminster Constituency,456,9,387,3
E14001531,Sunderland Central,176,4,475,9,321,6,203,4,486,9,303,6,504,10,328,7,England,543,Westminster Constituency,434,8,304,5
E14001532,Surrey Heath,127,3,256,5,327,6,223,5,51,1,293,6,105,2,12,1,England,543,Westminster Constituency,58,2,212,7
E14001533,Sussex Weald,160,3,146,3,240,5,365,7,193,4,481,9,304,6,167,4,England,543,Westminster Constituency,225,5,371,4
E14001534,Sutton and Cheam,475,9,411,8,65,2,56,2,318,6,162,3,90,2,43,1,England,543,Westminster Constituency,103,2,88,9
E14001535,Sutton Coldfield,379,7,376,7,451,9,215,4,183,4,431,8,190,4,258,5,England,543,Westminster Constituency,276,6,75,9
E14001536,Swindon North,66,2,25,1,70,2,275,6,7,1,159,3,225,5,106,2,England,543,Westminster Constituency,31,1,535,1
E14001537,Swindon South,197,4,175,4,217,4,180,4,80,2,128,3,158,3,160,3,England,543,Westminster Constituency,47,1,535,1
E14001538,Tamworth,159,3,226,5,368,7,359,7,59,2,325,6,264,5,410,8,England,543,Westminster Constituency,214,4,69,9
E14001539,Tatton,275,6,277,6,420,8,371,7,234,5,443,9,257,5,140,3,England,543,Westminster Constituency,253,5,23,10
E14001540,Taunton and Wellington,130,3,32,1,155,3,257,5,160,3,411,8,366,7,247,5,England,543,Westminster Constituency,151,3,530,1
E14001541,Telford,10,1,10,1,158,3,436,9,19,1,149,3,250,5,450,9,England,543,Westminster Constituency,137,3,408,3
E14001542,Tewkesbury,57,2,93,2,216,4,438,9,46,1,401,8,300,6,107,2,England,543,Westminster Constituency,135,3,476,2
E14001543,The Wrekin,35,1,52,1,202,4,472,9,64,2,326,6,309,6,427,8,England,543,Westminster Constituency,220,5,321,5
E14001544,Thirsk and Malton,254,5,130,3,257,5,475,9,304,6,518,10,495,10,455,9,England,543,Westminster Constituency,495,10,362,4
E14001545,Thornbury and Yate,161,3,125,3,297,6,468,9,67,2,414,8,323,6,143,3,England,543,Westminster Constituency,202,4,417,3
E14001546,Thurrock,290,6,180,4,138,3,122,3,54,1,47,1,97,2,117,3,England,543,Westminster Constituency,24,1,160,8
E14001547,Tipton and Wednesbury,271,5,289,6,298,6,210,4,184,4,131,3,276,6,515,10,England,543,Westminster Constituency,282,6,194,7
E14001548,Tiverton and Minehead,332,7,118,3,403,8,432,8,316,6,525,10,469,9,426,8,England,543,Westminster Constituency,492,10,471,2
E14001549,Tonbridge,316,6,366,7,369,7,296,6,309,6,375,7,177,4,137,3,England,543,Westminster Constituency,199,4,196,7
E14001550,Tooting,537,10,525,10,45,1,29,1,536,10,30,1,4,1,145,3,England,543,Westminster Constituency,371,7,53,10
E14001551,Torbay,453,9,305,6,140,3,88,2,462,9,483,9,514,10,437,9,England,543,Westminster Constituency,488,9,516,1
E14001552,Torridge and Tavistock,305,6,70,2,291,6,445,9,281,6,526,10,511,10,415,8,England,543,Westminster Constituency,503,10,491,1
E14001553,Tottenham,494,10,479,9,33,1,25,1,498,10,22,1,17,1,376,7,England,543,Westminster Constituency,258,5,89,9
E14001554,Truro and Falmouth,250,5,38,1,160,3,311,6,256,5,440,9,394,8,353,7,England,543,Westminster Constituency,264,5,490,1
E14001555,Tunbridge Wells,383,8,296,6,126,3,134,3,415,8,282,6,151,3,176,4,England,543,Westminster Constituency,132,3,424,3
